rank_mi,rank_t,freq,Freq(R),mi,t,collocate
12442,774,12,5,3.2759,3.106473,梦/n
8656,1049,8,5,4.0129,2.653226,大夫/n
12430,616,15,5,3.2875,3.476341,水/n
11286,974,9,5,3.5048,2.735709,一段/m
11487,1121,8,5,3.3806,2.556865,茫然/z
11501,899,10,5,3.3714,2.856703,大门/n
11495,1000,9,5,3.3755,2.710932,把手/v
11285,973,9,5,3.5048,2.735709,死亡/v
11296,1252,7,5,3.4983,2.411628,:/x
11275,264,37,5,3.5219,5.553227,以后/f
5848,1145,7,5,4.4418,2.524007,般地/u
8488,920,9,5,4.1124,2.826559,野兽/n
11304,749,12,5,3.4935,3.156541,鼻子/n
12510,518,18,5,3.2194,3.787117,微笑/vn
12504,924,10,5,3.2305,2.825362,走廊/n
5617,997,8,5,4.6344,2.714546,目瞪口呆/i
12498,1304,7,5,3.2353,2.364804,地板/n
12565,838,11,5,3.2093,2.958035,那边/r
12511,626,15,5,3.2194,3.457149,担心/v
9006,836,10,5,3.9563,2.958561,刹那间/t
9028,530,16,5,3.9425,3.739839,沉思/a
9041,716,12,5,3.9198,3.235219,心头/s
9035,426,20,5,3.9288,4.178497,常常/d
10876,1228,7,5,3.6186,2.430358,浮现/v
10871,582,15,5,3.627,3.559508,娜/x
10885,1237,7,5,3.6186,2.430358,．/x
10879,1231,7,5,3.6186,2.430358,凝视着/n
10880,1232,7,5,3.6186,2.430358,清醒/a
9029,1055,8,5,3.9425,2.644466,病人/n
12596,846,11,5,3.1796,2.950565,理解/v
12575,630,15,5,3.1973,3.450751,女儿/n
12576,929,10,5,3.1973,2.817527,注视/v
9150,385,22,5,3.8874,4.373464,随后/d
10787,1225,7,5,3.6828,2.439723,后悔/v
9160,1062,8,5,3.8754,2.635705,词/n
11056,696,13,5,3.5434,3.296313,一群/m
5121,879,9,5,4.8043,2.892632,哈哈大笑/l
11048,1246,7,5,3.5572,2.420993,拥抱/v
11047,1245,7,5,3.5572,2.420993,右手/n
11043,1241,7,5,3.5572,2.420993,卧室/n
5861,897,9,5,4.4173,2.859596,弹/v
8646,771,11,5,4.0394,3.114918,前方/f
11057,697,13,5,3.5434,3.296313,危险/an
11046,1244,7,5,3.5572,2.420993,事实/n
11522,486,19,5,3.3348,3.926893,回家/n
5094,978,8,5,4.8754,2.732066,高烧/v
4984,1295,6,5,4.9198,2.368568,两颊/n
10843,1093,8,5,3.6344,2.600665,勇气/n
9288,482,18,5,3.7768,3.933118,病/n
4987,1298,6,5,4.9198,2.368568,打住/v
4985,1296,6,5,4.9198,2.368568,怒/vg
5138,985,8,5,4.7499,2.723306,一阵风/l
8354,912,9,5,4.2568,2.843077,嗓音/n
9162,1064,8,5,3.8754,2.635705,震动/vn
10844,1094,8,5,3.6344,2.600665,热情/n
9267,1074,8,5,3.8113,2.626945,卖/v
9211,571,15,5,3.8494,3.60429,般/u
10778,957,9,5,3.6974,2.768746,墙上/s
9268,1075,8,5,3.8113,2.626945,天上/s
10783,1087,8,5,3.691,2.609425,嚷/v
9255,1215,7,5,3.8203,2.458453,女孩子/n
5610,623,13,4,4.643,3.46124,奇迹/n
5145,1308,6,4,4.7499,2.358452,叫喊声/i
9266,1073,8,4,3.8113,2.626945,旅行/vn
9264,1071,8,4,3.8113,2.626945,威胁/vn
9265,1072,8,4,3.8113,2.626945,讲话/n
9237,388,22,4,3.8401,4.362899,音乐/n
9286,538,16,4,3.7803,3.708867,船/n
9287,539,16,4,3.7803,3.708867,屋里/s
10818,865,10,4,3.6568,2.91155,屋子/n
9201,500,17,4,3.8677,3.840666,森林/n
8424,212,46,4,4.1719,6.40605,有时/r
8427,1030,8,4,4.1649,2.670746,颤动/v
8430,1033,8,4,4.1649,2.670746,惊愕/a
12816,596,16,4,3.106,3.535427,睡/v
12827,855,11,4,3.0938,2.928153,解释/v
12828,643,15,4,3.092,3.418764,句/q
4990,1301,6,4,4.9198,2.368568,虚弱/a
5100,791,10,4,4.8494,3.052584,中途/b
5119,1125,7,4,4.8203,2.552102,脑海中/l
9319,1223,7,4,3.7499,2.449088,教室/n
9274,852,10,4,3.7988,2.935055,随即/d
8639,108,94,4,4.0502,9.110133,一天/m
8643,928,9,4,4.0453,2.8183,速度/n
8654,831,10,4,4.0129,2.966396,教堂/n
8633,443,19,4,4.0592,4.097422,院子/n
11042,1240,7,4,3.5572,2.420993,抬头/v
8615,825,10,4,4.0718,2.974232,打击/v
12416,614,15,4,3.311,3.482739,是因为/c
11524,820,11,4,3.3348,2.987918,街上/s
5850,1147,7,4,4.4418,2.524007,狮子/n
5857,1012,8,4,4.428,2.697026,亚历山德罗/ns
5859,895,9,4,4.4173,2.859596,开来/v
5860,896,9,4,4.4173,2.859596,丽达/nr
5867,746,11,4,4.402,3.159742,博士/n
11005,1098,8,4,3.58,2.591905,感/v
11009,693,13,4,3.5758,3.303185,影子/n
8992,609,14,4,3.9723,3.503266,窗户/n
8984,423,20,4,3.9843,4.189578,那天/r
8989,933,9,4,3.9812,2.810041,挺/d
10893,689,13,4,3.609,3.310057,存在/v
10901,964,9,4,3.5979,2.752228,醒来/v
8657,1050,8,4,4.0129,2.653226,叹息/v
12434,1287,7,4,3.2842,2.374169,多年/m
12435,1288,7,4,3.2842,2.374169,愉快/a
12438,1291,7,4,3.2842,2.374169,自由/a
12422,914,10,4,3.2992,2.841032,座/q
12431,662,14,4,3.2842,3.357582,者/k
5835,1341,6,4,4.4604,2.338222,黑影/n
5755,1139,7,4,4.5572,2.533372,固执/a
5845,580,14,4,4.4418,3.569486,飞机/n
5847,1144,7,4,4.4418,2.524007,一夜之间/i
8486,713,12,4,4.1124,3.26383,旁/f
11300,1256,7,4,3.4983,2.411628,伤心/n
11070,1104,8,4,3.5275,2.583145,屋子里/n
11283,805,11,4,3.5089,3.025271,附近/f
11497,480,19,4,3.3733,3.938262,总是/c
11502,818,11,4,3.368,2.995388,朵夫/nrt
11503,767,12,4,3.3652,3.127931,四周/m
5838,1344,6,4,4.4604,2.338222,卡洛斯/nr
11481,1269,7,4,3.3873,2.392899,互相/d
11483,1271,7,4,3.3873,2.392899,醒/v
11489,1123,8,4,3.3806,2.556865,挣扎/v
5891,905,9,4,4.3348,2.851337,意想不到/l
10886,442,20,4,3.6124,4.106472,狗/n
10892,688,13,4,3.609,3.310057,楼梯/n
9141,841,10,4,3.9019,2.950726,一名/m
9033,775,11,4,3.9363,3.099977,叶子/nr
9034,776,11,4,3.9363,3.099977,青年/t
10873,794,11,4,3.6243,3.047683,国王/n
5628,1318,6,4,4.5979,2.348337,划破/v
12513,1027,9,4,3.2194,2.677896,二/m
5616,996,8,4,4.6344,2.714546,神甫/nr
12503,923,10,4,3.2305,2.825362,主人/n
12449,830,11,4,3.2707,2.972976,某个/r
10815,862,10,4,3.6568,2.91155,伯爵/nr
9148,1206,7,4,3.8943,2.467818,双臂/n
10788,1226,7,4,3.6828,2.439723,兔子/n
10807,326,28,4,3.6665,4.874764,心中/s
12597,729,13,4,3.1773,3.206977,老师/n
12588,1311,7,4,3.188,2.355439,弯/v
12594,844,11,4,3.1796,2.950565,一步/m
5754,1138,7,4,4.5572,2.533372,嗓门/n
12572,1153,8,4,3.2056,2.521824,面孔/n
5633,1323,6,4,4.5979,2.348337,痉挛/vn
5634,1324,6,4,4.5979,2.348337,棺材/n
5635,1325,6,4,4.5979,2.348337,焦虑/a
5899,1154,7,4,4.3348,2.514642,蓝眼睛/n
5885,750,11,4,4.3348,3.152271,车/zg
8420,595,14,4,4.188,3.536376,片刻/m
8421,917,9,4,4.1828,2.834818,次郎/n
11406,758,12,4,3.428,3.142236,怀里/s
11323,557,16,4,3.4769,3.64073,老人/n
8605,1042,8,4,4.0869,2.661986,一幕/m
8608,1045,8,4,4.0869,2.661986,勇敢/a
11410,1115,8,4,3.428,2.565625,厨房/n
8339,587,14,4,4.2842,3.54962,窗外/s
12744,1334,7,4,3.1422,2.346074,不住/v
12604,935,10,4,3.1649,2.809691,克利斯/nr
12833,1182,8,4,3.0869,2.495544,关于/p
4899,1283,6,4,5.1124,2.378683,亲近/d
12857,946,10,4,3.0718,2.786186,穿过/v
30,1273,6,4,5.3348,2.388798,冷冰冰/nr
16,1257,6,4,5.9198,2.409029,语塞/n
12903,703,14,4,3.0129,3.278118,工作/vn
12904,1068,9,4,3.0129,2.628341,表示/v
9304,785,11,4,3.7499,3.070094,深处/s
9307,952,9,4,3.7499,2.777005,莫名其妙/i
12891,1059,9,4,3.0453,2.636601,女/b
12892,1060,9,4,3.0453,2.636601,只能/v
