Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
419,19,10,9,4.199739,话题/n
420,21,8,13,4.198690,嘴/n
421,23,13,10,4.196528,一位/m
422,23,17,6,4.191361,时间/n
423,20,16,4,4.189578,那天/r
424,21,15,6,4.187877,走到/v
425,29,14,15,4.184299,再/d
426,20,15,5,4.178497,常常/d
427,20,9,11,4.178497,愤怒/v
428,24,10,14,4.175738,真/d
429,22,16,6,4.172728,张/q
430,19,18,1,4.171317,一半/m
431,19,3,16,4.165633,叫喊/v
432,20,14,6,4.161876,久/a
433,21,11,10,4.160842,房子/n
434,20,3,17,4.150795,响/v
435,28,14,14,4.144300,啊/zg
436,24,10,14,4.135277,打/v
437,29,22,7,4.133688,能/v
438,19,12,7,4.125843,人群/n
439,20,11,9,4.117553,爸爸/n
440,20,4,16,4.112013,强烈/a
441,18,1,17,4.108320,袭来/v
442,20,16,4,4.106472,狗/n
443,19,15,4,4.097422,院子/n
444,21,11,10,4.095960,家里/s
445,18,0,18,4.090799,伸出手/v
446,19,6,13,4.086053,有个/r
447,21,7,14,4.079740,来到/v
448,19,1,18,4.074685,惊/v
449,24,18,6,4.074585,见/v
450,23,18,5,4.067368,回答/v
451,19,17,2,4.063316,情绪/n
452,19,17,2,4.063316,一瞬间/m
453,18,2,16,4.061599,向上/d
454,19,13,6,4.057632,汽车/n
455,19,12,7,4.051947,绝望/v
456,20,8,12,4.039988,进来/v
457,22,13,9,4.030100,老/a
458,19,4,15,4.029210,颤抖/v
459,19,12,7,4.023526,脑袋/n
460,19,5,14,4.023526,寂静/a
461,24,18,6,4.013894,只是/c
462,17,1,16,4.008928,枪响/vn
463,23,14,9,4.005371,比/p
464,18,15,3,4.003199,如今/t
465,17,1,16,4.002918,发问/v
466,21,9,12,3.998637,痛苦/an
467,17,1,16,3.996909,发火/v
468,21,12,9,3.987824,她们/r
469,19,10,9,3.983736,周围/f
470,21,14,7,3.982417,朋友/n
471,18,15,3,3.973998,早晨/t
472,18,5,13,3.973998,一场/m
473,21,12,9,3.971603,于/p
474,17,0,17,3.960853,作出/v
