rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
6845,亭亭/n,1,2,0,1,4.3348
6846,密密/ad,1,2,1,0,4.3348
6847,摄影机/n,1,2,0,1,4.3348
6848,院落/n,1,2,0,1,4.3348
6849,半路上/l,1,2,1,0,4.3348
6850,剑锋/n,1,2,0,1,4.3348
6851,轿子/n,1,2,1,0,4.3348
6852,国光/n,1,2,1,0,4.3348
6853,扳上/v,1,2,0,1,4.3348
6854,教练/vn,1,2,1,0,4.3348
6855,劳累/vn,1,2,1,0,4.3348
6856,性命/n,1,2,0,1,4.3348
6857,前门/n,1,2,1,0,4.3348
6858,会醒/v,1,2,0,1,4.3348
6859,鸣咽/v,1,2,1,0,4.3348
6860,前途/n,1,2,1,0,4.3348
6861,爬上去/v,1,2,1,0,4.3348
6862,格拉/nrt,1,2,0,1,4.3348
6863,介入/v,1,2,0,1,4.3348
6864,若干/m,1,2,0,1,4.3348
6865,年龄阶段/n,1,2,0,1,4.3348
6866,不期而遇/l,1,2,1,0,4.3348
6867,天灶/n,1,2,0,1,4.3348
6868,宁周义/nr,1,2,1,0,4.3348
6869,满月/t,1,2,1,0,4.3348
6870,岳大壮/nr,1,2,1,0,4.3348
6871,窝/n,1,2,1,0,4.3348
6872,河面上/n,1,2,1,0,4.3348
6873,圆珠笔/n,1,2,1,0,4.3348
6874,排成/v,1,2,1,0,4.3348
6875,俨然/v,1,2,0,1,4.3348
6876,拖车/n,1,2,1,0,4.3348
6877,丛里/q,1,2,0,1,4.3348
6878,阵风/n,1,2,1,0,4.3348
6879,长进/v,1,2,1,0,4.3348
6880,细嫩/a,1,2,1,0,4.3348
6881,巷里/s,1,2,1,0,4.3348
6882,抛去/v,1,2,1,0,4.3348
6883,拾起/v,1,2,0,1,4.3348
6884,金子/n,1,2,0,1,4.3348
6885,朗斯/nrt,1,2,0,1,4.3348
6886,墓穴/n,1,2,0,1,4.3348
6887,翡翠/n,1,2,1,0,4.3348
6888,喜讯/nz,1,2,0,1,4.3348
6889,熄灯/v,1,2,1,0,4.3348
6890,奥立佛/nr,1,2,1,0,4.3348
6891,失恋/v,1,2,0,1,4.3348
6892,上过/v,1,2,1,0,4.3348
6893,奥克兰/nr,1,2,0,1,4.3348
6894,奶妈/n,1,2,0,1,4.3348
6895,桶/zg,1,2,1,0,4.3348
6896,直截了当/i,1,2,1,0,4.3348
6897,夺回/v,1,2,0,1,4.3348
6898,寄来/v,1,2,0,1,4.3348
6899,孝文/nz,1,2,1,0,4.3348
6900,高/n,1,2,0,1,4.3348
6901,口红/n,1,2,1,0,4.3348
6902,被叫/v,1,2,0,1,4.3348
6903,杀出/v,1,2,0,1,4.3348
6904,较大/a,1,2,1,0,4.3348
6905,原口/n,1,2,1,0,4.3348
6906,马可瓦/nr,1,2,1,0,4.3348
6907,登/v,1,2,0,1,4.3348
6908,峭壁/n,1,2,0,1,4.3348
6909,卡罗尔/nr,1,2,1,0,4.3348
6910,多月/m,1,2,1,0,4.3348
6911,一两天/m,1,2,1,0,4.3348
6912,死水/n,1,2,0,1,4.3348
6913,水底/n,1,2,0,1,4.3348
6914,至此/d,1,2,1,0,4.3348
6915,猛省/ns,1,2,0,1,4.3348
6916,瓦雀/nr,1,2,1,0,4.3348
6917,梧桐/n,1,2,0,1,4.3348
6918,一两米/m,1,2,1,0,4.3348
6919,炕前/s,1,2,0,1,4.3348
6920,牙缝里/n,1,2,0,1,4.3348
6921,阿斯/nrt,1,2,0,1,4.3348
6922,特迪/nr,1,2,1,0,4.3348
6923,短裤/n,1,2,0,1,4.3348
6924,不匀/a,1,2,1,0,4.3348
6925,今/tg,1,2,0,1,4.3348
6926,亲眼目睹/l,1,2,1,0,4.3348
6927,上掉/v,1,2,0,1,4.3348
6928,机车/n,1,2,1,0,4.3348
6929,窝里/n,1,2,0,1,4.3348
6930,红墙/n,1,2,0,1,4.3348
6931,出口处/i,1,2,1,0,4.3348
6932,帕多瓦/nrt,1,2,0,1,4.3348
6933,葛衍纳/nr,1,2,1,0,4.3348
6934,罗秀竹/nr,1,2,1,0,4.3348
6935,赤/vg,1,2,1,0,4.3348
6936,轻信/j,1,2,0,1,4.3348
6937,咸菜/n,1,2,1,0,4.3348
6938,舀/v,1,2,0,1,4.3348
6939,踱去/v,1,2,1,0,4.3348
6940,街角/n,1,2,0,1,4.3348
6941,燃料/n,1,2,1,0,4.3348
6942,如/c,1,2,1,0,4.3348
6943,嘻嘻/z,1,2,1,0,4.3348
6944,男低音/n,1,2,1,0,4.3348
6945,边门/n,1,2,0,1,4.3348
6946,近侍/v,1,2,0,1,4.3348
6947,麻木状态/n,1,2,0,1,4.3348
6948,爆/v,1,2,0,1,4.3348
6949,笔记本/n,1,2,1,0,4.3348
6950,发上/v,1,2,0,1,4.3348
6951,郭/nr,1,2,1,0,4.3348
6952,门里/s,1,2,0,1,4.3348
6953,闯进来/l,1,2,0,1,4.3348
6954,怒冲冲/z,1,2,1,0,4.3348
6955,尼乌斯/nr,1,2,1,0,4.3348
6956,马背上/nr,1,2,0,1,4.3348
