rank_mi,rank_t,freq,Freq(L),mi,t,collocate
9843,583,15,13,3.8508,3.604543,天气/n
12957,247,38,13,3.2961,5.536856,许多/m
11536,145,65,13,3.5916,7.393492,一只/m
11271,373,24,13,3.7653,4.538697,街上/s
9860,206,44,13,3.8296,6.166688,进来/v
11543,460,20,13,3.5835,4.099092,学生/n
11802,413,22,13,3.5258,4.283184,中间/f
8835,500,17,13,4.3283,3.917862,淑贞/n
11396,502,18,13,3.6574,3.906407,吃饭/v
12035,517,18,13,3.3701,3.832321,竟/d
11314,329,28,13,3.7018,4.884838,声/q
9872,592,15,13,3.8176,3.5983,左右/m
13075,441,22,12,3.2297,4.190397,梦/n
12002,470,20,12,3.4253,4.055841,消息/n
8920,605,14,12,4.2233,3.541338,沉思/a
13003,526,18,12,3.2547,3.798128,不到/v
13245,537,18,12,3.1478,3.763935,远/a
13244,340,29,12,3.1513,4.779042,几个/m
9193,661,13,12,4.0706,3.390964,片刻/m
9149,486,18,12,4.1138,3.997589,天上/s
11497,379,24,12,3.6153,4.499214,身边/s
13928,581,17,12,3.0147,3.612929,办法/n
11293,388,23,12,3.7238,4.432842,电话/n
13004,527,18,12,3.2547,3.798128,谈话/vn
11550,693,13,12,3.5787,3.303788,走开/v
9821,495,18,12,3.8676,3.951998,大门/n
9591,542,16,12,3.9778,3.746128,神/n
6372,256,33,12,4.3922,5.470984,开口/n
12908,586,16,12,3.3257,3.601058,继续/v
12909,587,16,12,3.3257,3.601058,书/n
9875,164,55,12,3.8117,6.888046,一片/m
11506,293,31,12,3.6101,5.111797,十分/m
11801,535,17,12,3.5269,3.765396,老太太/nr
9539,509,17,12,4.0313,3.870949,老人/n
11403,455,20,12,3.6477,4.115312,不想/v
11509,601,15,12,3.6046,3.5546,情形/n
9828,469,19,11,3.8632,4.059367,对面/n
11992,770,12,11,3.4315,3.143037,客人/n
11347,249,36,11,3.6821,5.532553,面前/f
6337,71,124,11,4.4915,10.640478,一件/m
13307,471,21,11,3.1186,4.054962,边/d
9734,171,53,11,3.9281,6.801865,感觉/n
9550,288,30,11,4.0102,5.137322,转/v
9882,556,16,11,3.7852,3.70986,故事/n
11505,691,13,11,3.6112,3.310494,渐/d
9792,468,19,11,3.8902,4.064914,态度/n
12917,453,21,11,3.3195,4.123552,上面/f
12907,554,17,11,3.3283,3.712619,二/m
