Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
423,22,9,13,4.247100,回家/n
424,28,7,21,4.245140,与/p
425,22,14,8,4.236791,工作/vn
426,20,9,11,4.234253,熟悉/v
427,19,1,18,4.231321,惊叫/v
428,29,11,18,4.231287,并/c
429,22,6,16,4.226481,轻轻/d
430,23,6,17,4.226139,如/v
431,21,13,8,4.223798,下面/f
432,27,19,8,4.223651,呀/y
433,24,16,8,4.222833,那样/r
434,22,17,5,4.221326,这儿/r
435,20,9,11,4.218034,低头/n
436,20,18,2,4.218034,此时/c
437,23,13,10,4.216056,晚上/t
438,21,17,4,4.207970,或者/c
439,23,6,17,4.205973,新/a
440,22,14,8,4.205862,时间/n
441,22,12,10,4.190397,梦/n
442,20,17,3,4.185595,淑华/n
443,21,6,15,4.181589,受/v
444,20,10,10,4.180189,雨/n
445,20,1,19,4.180189,唤/vg
446,21,4,17,4.176313,放/v
447,23,18,5,4.175724,睡/v
448,20,15,5,4.153157,沉默/a
449,23,17,6,4.150517,慢慢/d
450,21,6,15,4.149933,一块/m
451,21,11,10,4.144656,黑暗/z
452,22,17,5,4.128539,出去/v
453,21,11,10,4.123552,上面/f
454,22,9,13,4.118230,送/v
455,20,12,8,4.115312,不想/v
456,24,16,8,4.109320,啦/y
457,32,13,19,4.105335,只/d
458,20,13,7,4.104499,红/a
459,24,14,10,4.104384,不会/v
460,20,13,7,4.099092,学生/n
461,23,18,5,4.095060,一起/m
462,19,3,16,4.092649,对方/n
463,20,9,11,4.082873,句/q
464,21,10,11,4.081343,信/n
465,18,9,9,4.071674,感动/v
466,25,20,5,4.071554,不过/c
467,19,4,15,4.070461,伸手/v
468,19,11,8,4.064914,态度/n
469,19,11,8,4.059367,对面/n
470,20,12,8,4.055841,消息/n
471,21,11,10,4.054962,边/d
472,21,14,7,4.039134,打算/v
473,20,13,7,4.034215,同时/c
474,25,15,10,4.032868,啊/zg
475,19,8,11,4.031633,脑袋/n
476,20,6,14,4.028809,那天/r
477,18,18,0,4.026083,许久/m
478,23,19,4,4.024479,只是/c
479,20,14,6,4.023402,点/m
480,20,14,6,4.023402,姑娘/n
481,19,8,11,4.020539,远处/s
482,18,16,2,4.020384,几步/m
483,18,4,14,4.014686,失去/v
484,19,6,13,4.009445,年轻/a
485,17,2,15,3.999960,插嘴/v
486,18,12,6,3.997589,天上/s
487,18,2,16,3.991890,回过/v
488,20,13,7,3.985557,或/c
489,19,15,4,3.981711,琴/n
490,19,18,1,3.976164,几天/m
491,18,16,2,3.963396,几句/m
492,20,8,12,3.958525,于/p
493,18,7,11,3.957697,脖子/n
494,19,2,17,3.953977,不再/d
495,18,12,6,3.951998,大门/n
496,18,4,14,3.929202,站住/v
497,19,10,9,3.926242,马/n
498,18,5,13,3.923504,低/a
499,19,9,10,3.920695,名字/n
500,17,13,4,3.917862,淑贞/n
501,19,16,3,3.915148,气/n
502,18,13,5,3.906407,吃饭/v
503,23,13,10,3.903482,两/m
504,20,12,8,3.899054,人们/n
505,20,10,10,3.882835,忘/v
