rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
5054,伟民/n,1,1,0,1,5.3701
5055,设若/c,1,1,1,0,5.3701
5056,年底/t,1,1,1,0,5.3701
5057,匪/ng,1,1,1,0,5.3701
5058,短简/n,1,1,0,1,5.3701
5059,行军/n,1,1,1,0,5.3701
5060,急报/n,1,1,0,1,5.3701
5061,鼻下/n,1,1,1,0,5.3701
5062,嘴下/s,1,1,0,1,5.3701
5063,日报社/nt,1,1,1,0,5.3701
5064,接续/v,1,1,0,1,5.3701
5065,邮寄/v,1,1,0,1,5.3701
5066,几尺/m,1,1,1,0,5.3701
5067,乱刺/v,1,1,0,1,5.3701
5068,但琦旺/nr,1,1,0,1,5.3701
5069,得手/v,1,1,1,0,5.3701
5070,伸出头/v,1,1,0,1,5.3701
5071,文靖/nr,1,1,0,1,5.3701
5072,推门而入/i,1,1,0,1,5.3701
5073,齐修良/nr,1,1,1,0,5.3701
5074,大锯/n,1,1,1,0,5.3701
5075,工场/n,1,1,0,1,5.3701
5076,胡秋原/nr,1,1,1,0,5.3701
5077,媚姐/n,1,1,1,0,5.3701
5078,直白/v,1,1,0,1,5.3701
5079,女红/n,1,1,0,1,5.3701
5080,富美/a,1,1,1,0,5.3701
5081,富美/nr,1,1,0,1,5.3701
5082,费多/nrt,1,1,1,0,5.3701
5083,妙不可言/i,1,1,1,0,5.3701
5084,悄没/d,1,1,0,1,5.3701
5085,用过/v,1,1,1,0,5.3701
5086,术语/n,1,1,1,0,5.3701
5087,李玉/nr,1,1,1,0,5.3701
5088,老秦/nr,1,1,0,1,5.3701
5089,三官/n,1,1,1,0,5.3701
5090,内中/s,1,1,1,0,5.3701
5091,诟骂/v,1,1,1,0,5.3701
5092,伊底帕斯/nrt,1,1,0,1,5.3701
5093,阿尔蒂西/nrt,1,1,1,0,5.3701
5094,气嘘嘘/z,1,1,0,1,5.3701
5095,康司/n,1,1,1,0,5.3701
5096,坦丁/n,1,1,1,0,5.3701
5097,插口/n,1,1,0,1,5.3701
5098,缺德/n,1,1,0,1,5.3701
5099,任常/d,1,1,1,0,5.3701
5100,大提琴/n,1,1,0,1,5.3701
5101,真毒/n,1,1,1,0,5.3701
5102,十二三万/m,1,1,0,1,5.3701
5103,电视剧/n,1,1,1,0,5.3701
5104,长段/n,1,1,0,1,5.3701
5105,漫/v,1,1,1,0,5.3701
5106,握起/v,1,1,0,1,5.3701
